abv,icpsr,state,district,year,rep,dem,other,total
IA,31,IOWA,5,1968,110002,73320,12741,196063
IA,31,IOWA,6,1968,116438,75081,9354,200873
KS,32,KANSAS,1,1968,114688,60939,16375,192002
KS,32,KANSAS,2,1968,87812,55430,18748,161990
KS,32,KANSAS,3,1968,87226,63698,18237,169161
KS,32,KANSAS,4,1968,84517,58290,13892,156699
KS,32,KANSAS,5,1968,100825,62536,20869,184230
KY,51,KENTUCKY,1,1968,52385,61978,45478,159841
KY,51,KENTUCKY,2,1968,59449,47859,28221,135529
KY,51,KENTUCKY,3,1968,55549,66483,22262,144294
KY,51,KENTUCKY,4,1968,66185,48000,25364,139549
KY,51,KENTUCKY,5,1968,95407,42927,23681,162015
KY,51,KENTUCKY,6,1968,61072,53844,28328,143244
KY,51,KENTUCKY,7,1968,67997,74283,18913,161193
LA,45,LOUISIANA,1,1968,36495,41953,66056,144504
LA,45,LOUISIANA,2,1968,31993,51221,45894,129108
LA,45,LOUISIANA,3,1968,40392,31815,58934,131141
LA,45,LOUISIANA,4,1968,32635,31842,66398,130875
LA,45,LOUISIANA,5,1968,30367,33068,82988,146423
LA,45,LOUISIANA,6,1968,27875,33967,72966,134808
LA,45,LOUISIANA,7,1968,32953,39560,67241,139754
LA,45,LOUISIANA,8,1968,25451,46398,70218,142067
ME,2,MAINE,1,1968,88406,112848,3390,204644
ME,2,MAINE,2,1968,80848,104469,2980,188297
MD,52,MARYLAND,1,1968,65316,44979,31977,142272
MD,52,MARYLAND,2,1968,76774,72706,22311,171791
MD,52,MARYLAND,3,1968,74644,69694,26406,170744
MD,52,MARYLAND,4,1968,55177,40163,26609,121949
MD,52,MARYLAND,5,1968,54084,55619,21733,131436
MD,52,MARYLAND,6,1968,80752,51456,25528,157736
MD,52,MARYLAND,7,1968,22429,106998,9066,138493
MD,52,MARYLAND,8,1968,77821,85063,13324,176208
MA,3,MASSACHUSETTS,1,1968,69299,111303,8812,189414
MA,3,MASSACHUSETTS,2,1968,62441,114197,8787,185425
MA,3,MASSACHUSETTS,3,1968,62260,125551,5810,193621
MA,3,MASSACHUSETTS,4,1968,63795,124055,4202,192052
MA,3,MASSACHUSETTS,5,1968,64516,118447,5958,188921
MA,3,MASSACHUSETTS,6,1968,76125,125950,6588,208663
MA,3,MASSACHUSETTS,7,1968,64760,137995,7053,209808
MA,3,MASSACHUSETTS,8,1968,45580,136775,6881,189236
MA,3,MASSACHUSETTS,9,1968,46437,121436,8478,176351
MA,3,MASSACHUSETTS,10,1968,70773,114410,6842,192025
MA,3,MASSACHUSETTS,11,1968,56259,132497,10262,199018
MA,3,MASSACHUSETTS,12,1968,84470,106256,7406,198132
MI,23,MICHIGAN,1,1968,25093,157660,8241,190994
MI,23,MICHIGAN,2,1968,69610,70528,15950,156088
MI,23,MICHIGAN,3,1968,91974,64544,17857,174375
MI,23,MICHIGAN,4,1968,91836,58484,20275,170595
MI,23,MICHIGAN,5,1968,96621,69234,13226,179081
MI,23,MICHIGAN,6,1968,86772,63306,14901,164979
MI,23,MICHIGAN,7,1968,67184,77858,25630,170672
MI,23,MICHIGAN,8,1968,87500,65863,14012,167375
MI,23,MICHIGAN,9,1968,102528,61457,15814,179799
MI,23,MICHIGAN,10,1968,96386,55600,13974,165960
MI,23,MICHIGAN,11,1968,88694,85510,10940,185144
MI,23,MICHIGAN,12,1968,61859,75674,20093,157626
MI,23,MICHIGAN,13,1968,18192,127178,9780,155150
MI,23,MICHIGAN,14,1968,69970,117906,27116,214992
MI,23,MICHIGAN,15,1968,41959,79439,23973,145371
MI,23,MICHIGAN,16,1968,49774,110387,23555,183716
MI,23,MICHIGAN,17,1968,79749,101819,21458,203026
MI,23,MICHIGAN,18,1968,58586,89485,17245,165316
MI,23,MICHIGAN,19,1968,86378,61150,17928,165456
MN,33,MINNESOTA,1,1968,87825,91415,7645,186885
MN,33,MINNESOTA,2,1968,98724,90522,7917,197163
MN,33,MINNESOTA,3,1968,89127,98643,6572,194342
MN,33,MINNESOTA,4,1968,63721,122174,8517,194412
MN,33,MINNESOTA,5,1968,75684,123092,9161,207937
MN,33,MINNESOTA,6,1968,90969,98899,10101,199969
MN,33,MINNESOTA,7,1968,94790,100375,10253,205418
MN,33,MINNESOTA,8,1968,57803,132618,8765,199186
MS,46,MISSISSIPPI,1,1968,17832,29660,82062,129554
MS,46,MISSISSIPPI,2,1968,15781,30303,72655,118739
MS,46,MISSISSIPPI,3,1968,12703,32431,97866,143000
MS,46,MISSISSIPPI,4,1968,22236,41696,77047,140979
MS,46,MISSISSIPPI,5,1968,19964,16554,85719,122237
MO,34,MISSOURI,1,1968,41869,110310,9671,161850
MO,34,MISSOURI,2,1968,85185,79326,18994,183505
MO,34,MISSOURI,3,1968,70887,85327,21754,177968
MO,34,MISSOURI,4,1968,85872,70811,22118,178801
MO,34,MISSOURI,5,1968,57971,83098,17562,158631
MO,34,MISSOURI,6,1968,96811,82503,20275,199589
MO,34,MISSOURI,7,1968,112012,62783,19718,194513
MO,34,MISSOURI,8,1968,88961,59344,17822,166127
MO,34,MISSOURI,9,1968,81840,75883,23189,180912
MO,34,MISSOURI,10,1968,71624,66638,32365,170627
MT,64,MONTANA,1,1968,65689,59110,11227,136026
MT,64,MONTANA,2,1968,73146,55007,8788,136941
NE,35,NEBRASKA,1,1968,110909,61274,11633,183816
NE,35,NEBRASKA,2,1968,84690,59078,19044,162812
NE,35,NEBRASKA,3,1968,125564,50432,14227,190223
NV,65,NEVADA,1,1968,73188,60598,20432,154218
NH,4,NEW HAMPSHIRE,1,1968,78662,64045,6347,149054
NH,4,NEW HAMPSHIRE,2,1968,76241,66544,4826,147611
NJ,12,NEW JERSEY,1,1968,75624,87392,27954,190970
NJ,12,NEW JERSEY,2,1968,91726,85603,23194,200523
NJ,12,NEW JERSEY,3,1968,90913,72420,13260,176593
NJ,12,NEW JERSEY,4,1968,64841,81145,22228,168214
NJ,12,NEW JERSEY,5,1968,103944,77217,13176,194337
NJ,12,NEW JERSEY,6,1968,88880,70760,18361,178001
NJ,12,NEW JERSEY,7,1968,121037,82220,11103,214360
NJ,12,NEW JERSEY,8,1968,82011,77904,17639,177554
NJ,12,NEW JERSEY,9,1968,112279,86031,13160,211470
NJ,12,NEW JERSEY,10,1968,40030,91975,12677,144682
NJ,12,NEW JERSEY,11,1968,100354,100188,17215,217757
NJ,12,NEW JERSEY,12,1968,100089,93199,16085,209373
NJ,12,NEW JERSEY,13,1968,103051,66092,16548,185691
NJ,12,NEW JERSEY,14,1968,70360,102257,18731,191348
NJ,12,NEW JERSEY,15,1968,76756,90902,20591,188249
NM,66,NEW MEXICO,1,1968,91729,75328,7850,174907
NM,66,NEW MEXICO,2,1968,77963,54753,17887,150603
NY,13,NEW YORK,1,1968,93472,50908,15320,159700
NY,13,NEW YORK,2,1968,84034,46141,14650,144825
NY,13,NEW YORK,3,1968,103012,70161,11195,184368
NY,13,NEW YORK,4,1968,108949,98158,10791,217898
NY,13,NEW YORK,5,1968,108949,98158,10791,217898
NY,13,NEW YORK,6,1968,108298,98431,12106,218835
NY,13,NEW YORK,7,1968,46602,108562,7658,162822
NY,13,NEW YORK,8,1968,61484,117111,8709,187304
NY,13,NEW YORK,9,1968,98641,68644,16997,184282
NY,13,NEW YORK,10,1968,77684,78323,13830,169837
NY,13,NEW YORK,11,1968,52709,95497,9281,157487
NY,13,NEW YORK,12,1968,8743,66929,1578,77250
NY,13,NEW YORK,13,1968,53713,136671,7602,197986
NY,13,NEW YORK,14,1968,30724,49998,6798,87520
NY,13,NEW YORK,15,1968,77238,66349,10574,154161
NY,13,NEW YORK,16,1968,50182,120449,6730,177361
NY,13,NEW YORK,17,1968,67427,67720,12870,148017
NY,13,NEW YORK,18,1968,69963,121186,8076,199225
NY,13,NEW YORK,19,1968,16073,105053,3924,125050
NY,13,NEW YORK,20,1968,40319,122931,8273,171523
NY,13,NEW YORK,21,1968,10417,59363,2094,71874
NY,13,NEW YORK,22,1968,45102,116715,8077,169894
NY,13,NEW YORK,23,1968,99301,92265,13532,205098
NY,13,NEW YORK,24,1968,100797,95508,12064,208369
NY,13,NEW YORK,25,1968,102353,68225,14735,185313
NY,13,NEW YORK,26,1968,89655,66783,13301,169739
NY,13,NEW YORK,27,1968,100771,73629,11771,186171
NY,13,NEW YORK,28,1968,89880,121839,9596,221315
NY,13,NEW YORK,29,1968,112265,76151,11412,199828
NY,13,NEW YORK,30,1968,93004,67935,7306,168245
NY,13,NEW YORK,31,1968,100614,75508,10833,186955
NY,13,NEW YORK,32,1968,101486,72172,9516,183174
NY,13,NEW YORK,33,1968,97648,75964,10566,184178
NY,13,NEW YORK,34,1968,98521,88744,7584,194849
NY,13,NEW YORK,35,1968,94124,81707,8853,184684
NY,13,NEW YORK,36,1968,84839,86526,13219,184584
NY,13,NEW YORK,37,1968,47192,123678,14764,185634
NY,13,NEW YORK,38,1968,86360,88720,15444,190524
NY,13,NEW YORK,39,1968,99328,71296,11290,181914
NC,47,NORTH CAROLINA,1,1968,31143,47780,62324,141247
NC,47,NORTH CAROLINA,2,1968,31392,48483,60991,140866
NC,47,NORTH CAROLINA,3,1968,35730,32586,50931,119247
NC,47,NORTH CAROLINA,4,1968,58928,46425,40923,146276
NC,47,NORTH CAROLINA,5,1968,80504,44362,39406,164272
NC,47,NORTH CAROLINA,6,1968,59401,40619,42214,142234
NC,47,NORTH CAROLINA,7,1968,30786,35336,36867,102989
NC,47,NORTH CAROLINA,8,1968,67350,39820,46703,153873
NC,47,NORTH CAROLINA,9,1968,73070,40024,32252,145346
NC,47,NORTH CAROLINA,10,1968,75393,37971,45157,158521
NC,47,NORTH CAROLINA,11,1968,83495,50707,38420,172622
ND,36,NORTH DAKOTA,1,1968,138669,94769,14244,247682
OH,24,OHIO,1,1968,88124,71824,20838,180786
OH,24,OHIO,2,1968,96018,63535,26140,185693
OH,24,OHIO,3,1968,64092,76285,17984,158361
OH,24,OHIO,4,1968,99879,62741,18848,181468
OH,24,OHIO,5,1968,96579,61852,16031,174462
OH,24,OHIO,6,1968,86824,56809,32180,175813
OH,24,OHIO,7,1968,75960,61715,21288,158963
OH,24,OHIO,8,1968,71399,50913,26420,148732
OH,24,OHIO,9,1968,66329,88945,16371,171645
OH,24,OHIO,10,1968,89759,67417,15689,172865
OH,24,OHIO,11,1968,71395,62840,17970,152205
OH,24,OHIO,12,1968,81336,54511,24509,160356
OH,24,OHIO,13,1968,67381,71992,17607,156980
OH,24,OHIO,14,1968,67145,85837,21320,174302
OH,24,OHIO,15,1968,87406,55970,18578,161954
OH,24,OHIO,16,1968,84405,66949,18844,170198
OH,24,OHIO,17,1968,89436,58551,18828,166815
OH,24,OHIO,18,1968,78803,95894,17152,191849
OH,24,OHIO,19,1968,65508,98277,18342,182127
OH,24,OHIO,20,1968,48106,89863,57696,195665
OH,24,OHIO,21,1968,23965,123971,12391,160327
OH,24,OHIO,22,1968,89300,96883,18560,204743
OH,24,OHIO,23,1968,97416,74119,19802,191337
OK,53,OKLAHOMA,1,1968,86106,35522,30440,152068
OK,53,OKLAHOMA,2,1968,73878,55776,35640,165294
OK,53,OKLAHOMA,3,1968,57086,63021,43355,163462
OK,53,OKLAHOMA,4,1968,60270,54299,31065,145634
OK,53,OKLAHOMA,5,1968,67193,42532,24428,134153
OK,53,OKLAHOMA,6,1968,101498,49023,26737,177258
OR,72,OREGON,1,1968,112543,85679,9230,207452
OR,72,OREGON,2,1968,104600,78080,13099,195779
OR,72,OREGON,3,1968,93641,116136,10757,220534
OR,72,OREGON,4,1968,97649,78971,16597,193217
PA,14,PENNSYLVANIA,1,1968,59692,128387,16856,204935
PA,14,PENNSYLVANIA,2,1968,39297,146658,4690,190645
PA,14,PENNSYLVANIA,3,1968,57238,114922,18395,190555
PA,14,PENNSYLVANIA,4,1968,87115,126215,20977,234307
PA,14,PENNSYLVANIA,5,1968,104074,59915,13703,177692
PA,14,PENNSYLVANIA,6,1968,90818,89782,12956,193556
PA,14,PENNSYLVANIA,7,1968,99692,85858,21108,206658
PA,14,PENNSYLVANIA,8,1968,84293,65369,17107,166769
PA,14,PENNSYLVANIA,9,1968,97270,51959,14836,164065
PA,14,PENNSYLVANIA,10,1968,101917,94627,9880,206424
PA,14,PENNSYLVANIA,11,1968,84118,101135,10244,195497
PA,14,PENNSYLVANIA,12,1968,91394,87198,12186,190778
PA,14,PENNSYLVANIA,13,1968,110987,87709,12316,211012
PA,14,PENNSYLVANIA,14,1968,60996,122887,20721,204604
PA,14,PENNSYLVANIA,15,1968,79288,86587,7176,173051
PA,14,PENNSYLVANIA,16,1968,97356,47091,13307,157754
PA,14,PENNSYLVANIA,17,1968,104128,58308,13613,176049
PA,14,PENNSYLVANIA,18,1968,92077,90621,21058,203756
PA,14,PENNSYLVANIA,19,1968,93067,53049,14010,160126
PA,14,PENNSYLVANIA,20,1968,66107,111159,27052,204318
PA,14,PENNSYLVANIA,21,1968,69023,98072,19543,186638
PA,14,PENNSYLVANIA,22,1968,64570,101381,18473,184424
PA,14,PENNSYLVANIA,23,1968,88223,65033,9321,162577
PA,14,PENNSYLVANIA,24,1968,81256,85763,9733,176752
PA,14,PENNSYLVANIA,25,1968,73104,90833,16987,180924
RI,5,RHODE ISLAND,1,1968,58868,126226,6804,191898
RI,5,RHODE ISLAND,2,1968,63491,120292,8874,192657
SC,48,SOUTH CAROLINA,1,1968,39768,37187,28303,105258
SC,48,SOUTH CAROLINA,2,1968,48621,37542,28848,115011
SC,48,SOUTH CAROLINA,3,1968,41678,26585,47223,115486
SC,48,SOUTH CAROLINA,4,1968,49835,24395,32587,106817
SC,48,SOUTH CAROLINA,5,1968,39722,33705,43635,117062
SC,48,SOUTH CAROLINA,6,1968,34438,38072,34834,107344
SD,37,SOUTH DAKOTA,1,1968,75400,61801,5513,142714
SD,37,SOUTH DAKOTA,2,1968,74441,56222,7887,138550
TN,54,TENNESSEE,1,1968,92635,30418,30619,153672
TN,54,TENNESSEE,2,1968,86588,42200,31762,160550
TN,54,TENNESSEE,3,1968,63359,44042,53448,160849
TN,54,TENNESSEE,4,1968,43438,42847,65592,151877
TN,54,TENNESSEE,5,1968,46646,47636,54290,148572
TN,54,TENNESSEE,6,1968,52684,36380,68322,157386
TN,54,TENNESSEE,7,1968,42049,35390,74448,151887
TN,54,TENNESSEE,8,1968,45193,72320,46311,163824
TX,49,TEXAS,1,1968,39801,56212,52639,148652
TX,49,TEXAS,2,1968,38316,50599,51017,139932
TX,49,TEXAS,3,1968,85296,38119,15879,139294
TX,49,TEXAS,4,1968,47996,44554,36508,129058
TX,49,TEXAS,5,1968,61004,45759,20970,127733
TX,49,TEXAS,6,1968,54264,52259,25107,131630
TX,49,TEXAS,7,1968,89585,29323,18735,137643
TX,49,TEXAS,8,1968,26793,49283,27990,104066
TX,49,TEXAS,9,1968,46225,61476,37879,145580
TX,49,TEXAS,10,1968,52588,60848,17710,131146
TX,49,TEXAS,11,1968,38899,61849,22672,123420
TX,49,TEXAS,12,1968,38162,50853,16436,105451
TX,49,TEXAS,13,1968,72843,55534,32785,161162
TX,49,TEXAS,14,1968,44726,68965,19194,132885
TX,49,TEXAS,15,1968,36946,61851,7712,106509
TX,49,TEXAS,16,1968,41945,42764,14140,98849
TX,49,TEXAS,17,1968,55136,64758,27958,147852
TX,49,TEXAS,18,1968,24896,61263,14186,100345
TX,49,TEXAS,19,1968,67763,41821,31760,141344
TX,49,TEXAS,20,1968,22242,62211,5861,90314
TX,49,TEXAS,21,1968,71363,46119,18496,135978
TX,49,TEXAS,22,1968,51061,43903,24932,119896
TX,49,TEXAS,23,1968,33722,49618,12911,96251
TX,49,TEXAS,24,1968,48321,50652,20424,119397
UT,67,UTAH,1,1968,119524,69487,14758,203769
UT,67,UTAH,2,1968,119204,87178,12148,218530
VT,6,VERMONT,1,1968,85142,70255,5104,160501
VA,40,VIRGINIA,1,1968,47210,45273,40601,133084
VA,40,VIRGINIA,2,1968,37700,37647,25038,100385
VA,40,VIRGINIA,3,1968,78797,46336,29265,154398
VA,40,VIRGINIA,4,1968,38500,48549,49568,136617
VA,40,VIRGINIA,5,1968,54213,40770,59451,154434
VA,40,VIRGINIA,6,1968,74741,34679,32625,142045
VA,40,VIRGINIA,7,1968,66452,37190,29949,133591
VA,40,VIRGINIA,8,1968,47505,39796,17375,104676
VA,40,VIRGINIA,9,1968,75781,53436,25105,154322
VA,40,VIRGINIA,10,1968,69600,58661,18247,146508
WA,73,WASHINGTON,1,1968,102918,92510,10579,206007
WA,73,WASHINGTON,2,1968,87466,93506,15728,196700
WA,73,WASHINGTON,3,1968,69052,84962,10985,164999
WA,73,WASHINGTON,4,1968,83420,61301,13575,158296
WA,73,WASHINGTON,5,1968,77621,69968,13192,160781
WA,73,WASHINGTON,6,1968,66930,96553,14759,178242
WA,73,WASHINGTON,7,1968,79649,101883,15588,197120
WV,56,WEST VIRGINIA,1,1968,83951,99294,16366,199611
WV,56,WEST VIRGINIA,2,1968,80122,86730,17904,184756
WV,56,WEST VIRGINIA,3,1968,82591,88493,19110,190194
WV,56,WEST VIRGINIA,4,1968,60891,99574,19180,179645
WI,25,WISCONSIN,1,1968,86577,77191,16550,180318
WI,25,WISCONSIN,2,1968,84220,89620,9170,183010
WI,25,WISCONSIN,3,1968,102105,77099,12656,191860
WI,25,WISCONSIN,4,1968,74783,100446,18968,194197
WI,25,WISCONSIN,5,1968,63698,92352,14581,170631
WI,25,WISCONSIN,6,1968,97980,79801,11810,189591
WI,25,WISCONSIN,7,1968,86217,95168,15369,196754
WI,25,WISCONSIN,8,1968,106148,66437,15145,187730
WI,25,WISCONSIN,9,1968,108269,70741,13602,192612
WY,68,WYOMING,1,1968,70927,45173,11105,127205
WY,68,WYOMING,10,1968,83762,71141,8090,162993
WY,68,WYOMING,11,1968,64463,81881,11923,158267
WY,68,WYOMING,12,1968,74667,68937,10335,153939
WY,68,WYOMING,13,1968,75779,56359,8349,140487
WY,68,WYOMING,14,1968,71194,81124,15933,168251
WY,68,WYOMING,15,1968,72777,72828,13311,158916
WY,68,WYOMING,16,1968,40925,51627,7281,99833
WY,68,WYOMING,17,1968,70673,71681,6840,149194
WY,68,WYOMING,18,1968,64071,54098,11343,129512
WY,68,WYOMING,19,1968,67390,69517,11446,148353
AL,41,ALABAMA,1,1972,103842,33276,NA,137118
AL,41,ALABAMA,2,1972,107702,31190,NA,138892
AL,41,ALABAMA,3,1972,98640,33480,NA,132120
AL,41,ALABAMA,4,1972,117823,34059,NA,151882
AL,41,ALABAMA,5,1972,98504,33603,NA,132107
AL,41,ALABAMA,6,1972,108102,41625,NA,149727
AL,41,ALABAMA,7,1972,92421,47536,NA,139957
AK,81,ALASKA,1,1972,55349,32967,NA,88316
AZ,61,ARIZONA,1,1972,98436,46573,NA,145009
AZ,61,ARIZONA,2,1972,89052,65926,NA,154978
AZ,61,ARIZONA,3,1972,104197,41012,NA,145209
AZ,61,ARIZONA,4,1972,111127,45029,NA,156156
AR,42,ARKANSAS,1,1972,98979,45355,NA,144334
AR,42,ARKANSAS,2,1972,100761,56514,NA,157275
AR,42,ARKANSAS,3,1972,138541,47922,NA,186463
AR,42,ARKANSAS,4,1972,107476,49108,NA,156584
CA,71,CALIFORNIA,1,1972,123735,95522,NA,219257
CA,71,CALIFORNIA,2,1972,115742,94060,NA,209802
CA,71,CALIFORNIA,3,1972,104534,107849,NA,212383
CA,71,CALIFORNIA,4,1972,91739,77896,NA,169635
CA,71,CALIFORNIA,5,1972,60503,107755,NA,168258
CA,71,CALIFORNIA,6,1972,121081,110541,NA,231622
CA,71,CALIFORNIA,7,1972,75856,139721,NA,215577
CA,71,CALIFORNIA,8,1972,97446,89062,NA,186508
CA,71,CALIFORNIA,9,1972,80269,88293,NA,168562
CA,71,CALIFORNIA,10,1972,129770,84716,NA,214486
CA,71,CALIFORNIA,11,1972,103931,90388,NA,194319
CA,71,CALIFORNIA,12,1972,106577,83510,NA,190087
CA,71,CALIFORNIA,13,1972,130134,72367,NA,202501
CA,71,CALIFORNIA,14,1972,110079,90872,NA,200951
CA,71,CALIFORNIA,15,1972,93600,75020,NA,168620
CA,71,CALIFORNIA,16,1972,87864,79980,NA,167844
CA,71,CALIFORNIA,17,1972,106566,97748,NA,204314
CA,71,CALIFORNIA,18,1972,100122,65449,NA,165571
CA,71,CALIFORNIA,19,1972,91302,63474,NA,154776
CA,71,CALIFORNIA,20,1972,144889,68650,NA,213539
CA,71,CALIFORNIA,21,1972,37413,91077,NA,128490
CA,71,CALIFORNIA,22,1972,101594,79296,NA,180890
CA,71,CALIFORNIA,23,1972,135119,57301,NA,192420
CA,71,CALIFORNIA,24,1972,148177,55323,NA,203500
CA,71,CALIFORNIA,25,1972,126156,53059,NA,179215
CA,71,CALIFORNIA,26,1972,111555,135535,NA,247090
CA,71,CALIFORNIA,27,1972,129909,74361,NA,204270
CA,71,CALIFORNIA,28,1972,133911,104629,NA,238540
CA,71,CALIFORNIA,29,1972,80484,67490,NA,147974
CA,71,CALIFORNIA,30,1972,55563,60305,NA,115868
CA,71,CALIFORNIA,31,1972,96740,72054,NA,168794
CA,71,CALIFORNIA,32,1972,149953,73970,NA,223923
CA,71,CALIFORNIA,33,1972,123412,59603,NA,183015
CA,71,CALIFORNIA,34,1972,110310,56370,NA,166680
CA,71,CALIFORNIA,35,1972,76784,65870,NA,142654
CA,71,CALIFORNIA,36,1972,95059,64929,NA,159988
CA,71,CALIFORNIA,37,1972,62666,109673,NA,172339
CA,71,CALIFORNIA,38,1972,71319,64824,NA,136143
CA,71,CALIFORNIA,39,1972,164958,56293,NA,221251
CA,71,CALIFORNIA,40,1972,144144,80734,NA,224878
CA,71,CALIFORNIA,41,1972,86387,66770,NA,153157
CA,71,CALIFORNIA,42,1972,160940,68162,NA,229102
CA,71,CALIFORNIA,43,1972,117994,66770,NA,184764
CO,62,COLORADO,1,1972,101950,82403,NA,184353
CO,62,COLORADO,2,1972,142326,76789,NA,219115
CO,62,COLORADO,3,1972,102569,57152,NA,159721
CO,62,COLORADO,4,1972,129253,63181,NA,192434
CO,62,COLORADO,5,1972,121492,50546,NA,172038
CT,1,CONNECTICUT,1,1972,121196,114473,NA,235669
CT,1,CONNECTICUT,2,1972,127923,85382,NA,213305
CT,1,CONNECTICUT,3,1972,142569,87766,NA,230335
CT,1,CONNECTICUT,4,1972,138496,81802,NA,220298
CT,1,CONNECTICUT,5,1972,144149,87747,NA,231896
CT,1,CONNECTICUT,6,1972,136430,98328,NA,234758
DE,11,DELAWARE,1,1972,140357,92283,NA,232640
FL,43,FLORIDA,1,1972,127607,24860,NA,152467
FL,43,FLORIDA,2,1972,111042,50861,NA,161903
FL,43,FLORIDA,3,1972,96783,41880,NA,138663
FL,43,FLORIDA,4,1972,135945,41660,NA,177605
FL,43,FLORIDA,5,1972,143766,44600,NA,188366
FL,43,FLORIDA,6,1972,154765,68214,NA,222979
FL,43,FLORIDA,7,1972,99739,43347,NA,143086
FL,43,FLORIDA,8,1972,134071,34768,NA,168839
FL,43,FLORIDA,9,1972,132323,32041,NA,164364
FL,43,FLORIDA,10,1972,157854,41504,NA,199358
FL,43,FLORIDA,11,1972,146024,50733,NA,196757
FL,43,FLORIDA,12,1972,140157,54394,NA,194551
FL,43,FLORIDA,13,1972,90997,72957,NA,163954
FL,43,FLORIDA,14,1972,70005,50458,NA,120463
FL,43,FLORIDA,15,1972,104864,60483,NA,165347
GA,44,GEORGIA,1,1972,90218,29768,NA,119986
GA,44,GEORGIA,2,1972,80769,20745,NA,101514
GA,44,GEORGIA,3,1972,81300,23534,NA,104834
GA,44,GEORGIA,4,1972,110574,33043,NA,143617
GA,44,GEORGIA,5,1972,69088,63405,NA,132493
GA,44,GEORGIA,6,1972,96213,24717,NA,120930
GA,44,GEORGIA,7,1972,91477,18726,NA,110203
GA,44,GEORGIA,8,1972,91338,26033,NA,117371
GA,44,GEORGIA,9,1972,89299,19544,NA,108843
GA,44,GEORGIA,10,1972,81220,30014,NA,111234
HI,82,HAWAII,1,1972,82729,49994,NA,132723
HI,82,HAWAII,2,1972,86136,51415,NA,137551
ID,63,IDAHO,1,1972,99087,45309,NA,144396
ID,63,IDAHO,2,1972,100297,35517,NA,135814
IL,21,ILLINOIS,1,1972,16998,145003,NA,162001
IL,21,ILLINOIS,2,1972,60220,116534,NA,176754
IL,21,ILLINOIS,3,1972,155092,65226,NA,220318
IL,21,ILLINOIS,4,1972,142635,57082,NA,199717
IL,21,ILLINOIS,5,1972,86644,96012,NA,182656
IL,21,ILLINOIS,6,1972,147633,66815,NA,214448
IL,21,ILLINOIS,7,1972,33266,93318,NA,126584
IL,21,ILLINOIS,8,1972,71343,90093,NA,161436
IL,21,ILLINOIS,9,1972,79997,111512,NA,191509
IL,21,ILLINOIS,10,1972,147305,89630,NA,236935
IL,21,ILLINOIS,11,1972,144169,85928,NA,230097
IL,21,ILLINOIS,12,1972,136343,56896,NA,193239
IL,21,ILLINOIS,13,1972,112900,49217,NA,162117
IL,21,ILLINOIS,14,1972,163652,53631,NA,217283
IL,21,ILLINOIS,15,1972,133061,68288,NA,201349
IL,21,ILLINOIS,16,1972,120432,62339,NA,182771
IL,21,ILLINOIS,17,1972,122873,62394,NA,185267
IL,21,ILLINOIS,18,1972,128747,67503,NA,196250
IL,21,ILLINOIS,19,1972,124549,77194,NA,201743
IL,21,ILLINOIS,20,1972,137414,78281,NA,215695
IL,21,ILLINOIS,21,1972,117230,70380,NA,187610
IL,21,ILLINOIS,22,1972,141820,80804,NA,222624
IL,21,ILLINOIS,23,1972,87654,76971,NA,164625
IL,21,ILLINOIS,24,1972,138435,92910,NA,231345
IN,22,INDIANA,1,1972,91218,82173,NA,173391
IN,22,INDIANA,2,1972,149099,53463,NA,202562
IN,22,INDIANA,3,1972,120430,66985,NA,187415
IN,22,INDIANA,4,1972,130321,63938,NA,194259
IN,22,INDIANA,5,1972,135915,58893,NA,194808
IN,22,INDIANA,6,1972,127566,45691,NA,173257
IN,22,INDIANA,7,1972,135270,72718,NA,207988
IN,22,INDIANA,8,1972,138545,73835,NA,212380
IN,22,INDIANA,9,1972,123569,70613,NA,194182
IN,22,INDIANA,10,1972,129455,57073,NA,186528
IN,22,INDIANA,11,1972,125009,63456,NA,188465
IA,31,IOWA,1,1972,111577,87448,NA,199025
IA,31,IOWA,2,1972,108517,86714,NA,195231
IA,31,IOWA,3,1972,119372,78687,NA,198059
IA,31,IOWA,4,1972,117283,92752,NA,210035
IA,31,IOWA,5,1972,125720,74495,NA,200215
IA,31,IOWA,6,1972,123738,76110,NA,199848
KS,32,KANSAS,1,1972,135605,52842,NA,188447
KS,32,KANSAS,2,1972,119234,51093,NA,170327
KS,32,KANSAS,3,1972,122474,61367,NA,183841
KS,32,KANSAS,4,1972,110805,52191,NA,162996
KS,32,KANSAS,5,1972,124835,50528,NA,175363
KY,51,KENTUCKY,1,1972,87072,51802,NA,138874
KY,51,KENTUCKY,2,1972,88384,46922,NA,135306
KY,51,KENTUCKY,3,1972,78143,63796,NA,141939
KY,51,KENTUCKY,4,1972,112607,47238,NA,159845
KY,51,KENTUCKY,5,1972,117821,44287,NA,162108
KY,51,KENTUCKY,6,1972,101147,50777,NA,151924
KY,51,KENTUCKY,7,1972,93088,67062,NA,160150
LA,45,LOUISIANA,1,1972,91347,37676,NA,129023
LA,45,LOUISIANA,2,1972,65036,43702,NA,108738
LA,45,LOUISIANA,3,1972,102047,31647,NA,133694
LA,45,LOUISIANA,4,1972,89754,29203,NA,118957
LA,45,LOUISIANA,5,1972,97039,35213,NA,132252
LA,45,LOUISIANA,6,1972,83246,36240,NA,119486
LA,45,LOUISIANA,7,1972,85502,41032,NA,126534
LA,45,LOUISIANA,8,1972,73297,43429,NA,116726
